play_rate_per_day,ad_rate_per_day,like_rate_per_day,skip_rate_per_day,artist_diversity_gini,avr_session_len
0.15289690814968437,0.03631301568555004,0.009556056759355273,0.007644845407484218,0.3162128712871286,63.37630416666667
0.15250208846736807,0.0465077291070697,0.049752454393609445,0.07571025668592742,0.20282362298667733,62.071995238095234
0.202319929854131,0.04830160487508533,0.013670265530684527,0.01822702070757937,0.3355009144482828,61.963600000000014
0.36391660824128275,0.09352564232155104,0.02685389730024733,0.02685389730024733,0.3494870643501089,66.98391228070176
0.12221645072165367,0.041553593245362244,0.04399792225979532,0.06233038986804337,0.18526315789473702,50.870247222222226
0.3056455436967756,0.11089794063334335,0.08565288097697252,0.16048645067264322,0.3066286589516678,64.63035648148148
0.16958600744429544,0.04372139254423242,0.010599125465268465,0.018548469564219815,0.21744791666666652,64.57070714285713
35.0,16.0,15.0,15.0,0.12666666666666648,118.76520000000001
0.22181404537965355,0.06746843880297795,0.014787603025310236,0.013863377836228347,0.33281249999999996,70.20751818181819
0.8338828361669367,0.2829245336994964,0.2829245336994964,0.38715988822036346,0.19987091222030995,101.01965
0.3102277541635702,0.07884241266035485,0.027423447881862555,0.025709482389246148,0.27665745856353596,71.54350833333334
0.23371994993285733,0.07240735703802247,0.017414427642056036,0.009165488232661072,0.34110007639419404,68.59750384615386
0.20149685981104723,0.05094021736796138,0.009056038643193135,0.011320048303991418,0.2902141553826947,60.86002222222222
0.16440648911532998,0.04871303381194962,0.016237677937316543,0.008118838968658271,0.29097293011666103,52.38086333333333
0.41538796702769704,0.11882027894048079,0.03574268553494137,0.028014537311170266,0.37127222982216135,69.99314583333334
0.1779262786207176,0.06290322981540522,0.044930878439575155,0.0889631393103588,0.2141826427540714,67.34318666666667
0.1734173558410745,0.062492740843630455,0.06405505936472122,0.07499128901235655,0.15585585585585582,73.27534
33.0,12.0,13.0,19.0,0.08585858585858586,100.96103333333333
0.4414348616670828,0.12698811089053066,0.03225094879759509,0.024188211598196317,0.2503304494111993,81.50808888888888
0.29601751220457617,0.06761821344774584,0.03155516627561472,0.019534150551571018,0.3101602157360406,89.64776666666668
0.4705317871982175,0.13498083592352905,0.03422049361441582,0.022813662409610545,0.38755588673621455,79.58872083333333
0.4071778341054155,0.12611702826273932,0.12071201276576478,0.19367972197492112,0.3337333133343332,79.12382666666667
0.2464412633312792,0.05723797083823259,0.020669267247139547,0.019079323612744194,0.2699330493000607,68.13158095238096
0.6844981345074742,0.17388460674988254,0.03726098716068912,0.03450091403767511,0.4064582777925885,90.82816944444443
0.24844804373083165,0.07060214192350972,0.020555053977730678,0.013405469985476528,0.33629823413996074,78.41438194444443
28.0,13.0,11.0,13.0,0.0942857142857143,87.85671666666667
0.20745436809193935,0.06826489890204841,0.023050485343548817,0.008865571285980313,0.292705772157827,61.00660384615385
0.3596753317614446,0.10861482790815902,0.10861482790815902,0.1816182368300364,0.19193684074289785,76.23047407407408
0.26495605496607333,0.08362400405905969,0.013203790114588372,0.01760505348611783,0.3431176381757777,63.73791250000001
0.2931107945229451,0.07491649700266967,0.02060203667573416,0.014046843188000563,0.34101881434149806,79.8135512820513
0.21887616644231173,0.05875097099240999,0.009215838587044703,0.012671778057186467,0.26771653543307083,64.77383703703703
0.23648702797110144,0.07562085196750337,0.04674743576172936,0.11686858940432339,0.2236942432329394,69.68505
0.47902747947308916,0.16200686045440243,0.02797240756047236,0.033799992468904104,0.38916573086281114,78.91576764705883
0.10240166901389144,0.03262354057079728,0.0072496756823993945,0.005437256761799546,0.23796676019857532,69.51562222222222
0.21962510246025774,0.05512502571711648,0.013125006123122972,0.00875000408208198,0.3057519920318723,62.58780384615385
0.36122151876375275,0.09851495966284166,0.0319000821765392,0.021579467354717694,0.3599057804940158,76.45600833333333
0.2250723967347192,0.056914858944411756,0.020696312343422455,0.010348156171711228,0.26069342377991345,78.56801458333332
34.0,12.0,11.0,19.0,0.05514705882352944,101.19358333333334
0.419226497200735,0.09643548817397099,0.05089650764737358,0.028127017384074873,0.348757543485978,90.33398461538461
0.3168504964486644,0.10374750768673083,0.025235880248123715,0.02383388690100573,0.30811417175620104,93.66223333333333
0.26506844317613004,0.0647260151941713,0.027739720797501984,0.015410955998612213,0.30069359445124433,98.08298888888889
0.29736481807310633,0.10480891128806208,0.0877469954969822,0.15843207520288452,0.20273224043715854,102.00247083333333
0.3736562450356812,0.08995428121229361,0.04151736055952013,0.027678240373013422,0.13848631239935583,82.62454166666667
0.47118043265771165,0.11345125385033837,0.04088333472084266,0.027596250936568794,0.39766740851339555,81.03363684210527
0.14507592206750555,0.04352277662025167,0.014507592206750556,0.00846276212060449,0.2231481481481481,83.47672777777778
21.0,15.0,8.0,10.0,0.08521303258145374,85.10335
0.200865816694232,0.0579818852313247,0.01656625292323563,0.008283126461617815,0.28519713543716074,60.71968333333334
